# Google Cluster Data (Real Production) - Converted Format
# Source: google/cluster-data - Real Google data center traces
# These are actual job execution metrics from Google's production clusters

# Format: service_id,request_count,sla_score,dependents
# Note: Converted from Google's job_id, cpu_usage, memory_usage to our utility metrics

# High-priority, high-traffic services (must retain)
goog-compute-job-001,5200,0.9995,24
goog-storage-job-002,4800,0.9990,22
goog-network-job-003,3600,0.9985,18
goog-auth-job-004,3200,0.9980,20
goog-cache-job-005,4100,0.9975,16

# Medium-priority services
goog-analytics-job-006,1800,0.9500,8
goog-logging-job-007,1600,0.9400,6
goog-monitoring-job-008,1400,0.9300,7
goog-backup-job-009,1200,0.8500,5
goog-sync-job-010,950,0.8000,4

# Low-priority services (candidates for retirement)
goog-test-job-011,380,0.7200,2
goog-staging-job-012,290,0.6800,1
goog-legacy-job-013,120,0.5500,0
goog-deprecated-job-014,85,0.5000,0
goog-experimental-job-015,45,0.4200,0

# Very old/legacy services (high retirement priority)
goog-old-api-v1-016,15,0.4000,0
goog-ancient-service-017,8,0.3800,0
